Primary Key,Order No,Order Date,Manufacturer,Product Category,Model Year,Serial Number,Complaint,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Complaint_Clean,Correction_Clean,Order No,Part Manufacturer,Part Description,Revenue,Actual Hours,Cost,Cost_Per_Hour,Year,Month
SO0018596-13,SO0018596,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Missed - Boom,"Bracket - Installed, Bolt - Installed",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0018596,PASE,HOSE,275.0,60.06960000000001,170.31,2.8304991224804548,2022,5
SO0018596-3,SO0018596,2022-05-09,PASEIH,APPL,0,YFT042399,Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",Error Code - Nozzle,No Component Mentioned - No Component Mentioned,Alternator not charging.,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",SO0018596,PASE,REMAN-ALTERNATOR,550.0,3.68,345.8299,91.48939153439153,2022,5
SO0018596-4,SO0018596,2022-05-12,PASEIH,APPL,0,YFT042373,Having fan belt issues,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",Not Opening - Door,Gas Strut - Installed,Having fan belt issues,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",SO0018596,PASE,TENSIONER  BELT,219.0,2.2199999999999998,153.3,66.07758620689656,2022,5
SO0018596-5,SO0018596,2022-05-12,PASEIH,APPL,0,YFT042373,Having fan belt issues,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened",Having fan belt issues,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",SO0018596,PASE,BULK HYTRAN/SHOP,4.0,2.2199999999999998,2.54,1.0948275862068966,2022,5
SO0018596-6,SO0018596,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Crushed - Compressor,Compressor Line - Replaced,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0018596,PASE,O-RING,1.7,60.06960000000001,0.94,0.015622507046747856,2022,5
SO0020073-1,SO0020073,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Oil Leak - Machine,"Fitting - Retightened, O Ring - Replaced, Hose - Reinstalled, Hydraulic Reservoir - Topped Off",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0020073,PASE,HOSE,120.0,60.06960000000001,93.75,1.5580957825878847,2022,5
SO0020073-2,SO0020073,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Not Used - Mirror, Not Mentioned - Valve, Not Mentioned - NCV, Not Mentioned - Nozzle, Not Mentioned - Cap","Flush Valve - Installed, Beacon - Installed, Side Panel - Installed, Step - Installed, Camera - Installed, Monitor - Setting Up",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0020073,PICK,MOBIL DELVAC SYN AFT,122.56,60.06960000000001,81.7,1.3578285379992552,2022,5
SO0020073-6,SO0020073,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0020073,PASE,LATCH,78.0,60.06960000000001,44.73,0.7433986597883315,2022,5
SO0020073-7,SO0020073,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Hit - Tank, Hit - Rail, Not Cradling - Boom","Nozzle - Switched, Boom Saddle - Tested",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0020073,PICK,TENSIONER,339.12,60.06960000000001,240.12,3.9907195660266974,2022,5
SO0020529-2,SO0020529,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0020529,PICK,3/8 FUEL HOSE,26.1,60.06960000000001,11.27,0.18730388767749823,2022,5
SO0022590-3,SO0022590,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Hose,O Ring - Installed,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0022590,PICK,BRAKE CLEANER,13.99,60.06960000000001,9.79,0.16270674892304415,2022,5
SO0023561-1,SO0023561,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Oil Leak - Machine,"Quick Connect Software - Reassembled, O Ring - Matched, Hydraulic Reservoir - Topped Off",Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0023561,PASE,REMAN ENGINE,41540.0,60.06960000000001,28636.33,475.9268800191458,2022,5
SO0023561-3,SO0023561,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Oil Leak - No Component Mentioned, Damaged - O Ring, Protruded - O Ring",No Component Mentioned - No Component Mentioned,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0023561,PASE,REMAN ENGINE,-3000.0,60.06960000000001,-3000.0,-49.85906504281231,2022,5
SO0023561-4,SO0023561,2022-05-25,PASEIH,APPL,0,YFT042399,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Broken - Harness,NCV Harness - Replaced,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",SO0023561,PASE,CLAMP,69.0,60.06960000000001,34.8,0.5783651544966227,2022,5
